,open,high,low,close,volume,value
2024-03-21 20:24:00,97369000.0,97436000.0,97364000.0,97364000.0,5.26604431,512739343.57756
2024-03-21 20:25:00,97364000.0,97369000.0,97355000.0,97355000.0,1.90741525,185708655.86175
2024-03-21 20:26:00,97355000.0,97361000.0,97300000.0,97300000.0,2.3282834,226614536.37616
2024-03-21 20:27:00,97300000.0,97355000.0,97289000.0,97289000.0,7.17327564,697958065.46588
2024-03-21 20:28:00,97290000.0,97564000.0,97289000.0,97468000.0,6.62432325,644854772.9084
2024-03-21 20:29:00,97462000.0,97462000.0,97289000.0,97411000.0,1.7892346,174184545.06768
2024-03-21 20:30:00,97409000.0,97409000.0,97302000.0,97333000.0,1.78126921,173388114.45267
2024-03-21 20:31:00,97350000.0,97400000.0,97302000.0,97400000.0,1.56583852,152421574.54864
2024-03-21 20:32:00,97400000.0,97474000.0,97338000.0,97385000.0,1.61837082,157653196.881
2024-03-21 20:33:00,97385000.0,97497000.0,97385000.0,97497000.0,2.23869063,218132032.83933
2024-03-21 20:34:00,97497000.0,97498000.0,97387000.0,97493000.0,3.02478171,294785755.43193
2024-03-21 20:35:00,97414000.0,97810000.0,97414000.0,97735000.0,6.27816537,613215590.22865
2024-03-21 20:36:00,97679000.0,97731000.0,97597000.0,97600000.0,3.78228275,369261179.53942
2024-03-21 20:37:00,97600000.0,97655000.0,97600000.0,97602000.0,0.99811154,97442980.47521
2024-03-21 20:38:00,97601000.0,97658000.0,97601000.0,97622000.0,4.17052064,407119074.53541
2024-03-21 20:39:00,97621000.0,97675000.0,97620000.0,97658000.0,1.983687,193718449.1477
2024-03-21 20:40:00,97658000.0,97667000.0,97652000.0,97660000.0,1.74924008,170827796.64649
2024-03-21 20:41:00,97653000.0,97664000.0,97653000.0,97654000.0,2.4941857,243569256.78703
2024-03-21 20:42:00,97654000.0,97656000.0,97630000.0,97630000.0,2.33259898,227761397.93163
2024-03-21 20:43:00,97649000.0,97649000.0,97630000.0,97649000.0,0.97214192,94913474.79858
2024-03-21 20:44:00,97648000.0,97794000.0,97648000.0,97794000.0,4.21039132,411345833.77689
2024-03-21 20:45:00,97732000.0,97808000.0,97731000.0,97790000.0,2.83105281,276836821.8872
2024-03-21 20:46:00,97786000.0,97800000.0,97661000.0,97680000.0,2.35703479,230356406.03804
2024-03-21 20:47:00,97728000.0,97730000.0,97661000.0,97661000.0,2.1811959,213117501.80732
2024-03-21 20:48:00,97670000.0,97752000.0,97661000.0,97674000.0,2.00454737,195856993.38765
2024-03-21 20:49:00,97719000.0,97730000.0,97672000.0,97672000.0,2.41791749,236191643.72462
2024-03-21 20:50:00,97670000.0,97672000.0,97602000.0,97609000.0,1.79585473,175328829.4481
2024-03-21 20:51:00,97602000.0,97700000.0,97570000.0,97633000.0,4.31950832,421670415.43601
2024-03-21 20:52:00,97696000.0,97699000.0,97562000.0,97669000.0,2.62690997,256431012.25517
2024-03-21 20:53:00,97632000.0,97632000.0,97560000.0,97560000.0,1.43330953,139873137.73749
2024-03-21 20:54:00,97591000.0,97633000.0,97556000.0,97585000.0,2.71146226,264601523.56894
2024-03-21 20:55:00,97633000.0,97633000.0,97556000.0,97564000.0,2.0915344,204073555.64702
2024-03-21 20:56:00,97557000.0,97584000.0,97556000.0,97582000.0,1.8026622,175885368.298
2024-03-21 20:57:00,97583000.0,97601000.0,97562000.0,97601000.0,2.98769777,291502207.03356
2024-03-21 20:58:00,97601000.0,97613000.0,97562000.0,97613000.0,3.87919489,378599190.17429
2024-03-21 20:59:00,97613000.0,97632000.0,97551000.0,97562000.0,4.26403263,416129197.57251
2024-03-21 21:00:00,97562000.0,97697000.0,97562000.0,97652000.0,4.09165684,399505003.41138
2024-03-21 21:01:00,97652000.0,97695000.0,97600000.0,97645000.0,2.28756542,223373617.36366
2024-03-21 21:02:00,97692000.0,97797000.0,97645000.0,97793000.0,9.32907574,911545717.4672
2024-03-21 21:03:00,97793000.0,97793000.0,97755000.0,97785000.0,3.27993826,320655385.49566
2024-03-21 21:04:00,97774000.0,97790000.0,97693000.0,97772000.0,2.96305838,289703662.4284
2024-03-21 21:05:00,97772000.0,97772000.0,97710000.0,97770000.0,1.53673217,150231705.06396
2024-03-21 21:06:00,97770000.0,97790000.0,97770000.0,97784000.0,2.48149479,242626344.85312
2024-03-21 21:07:00,97790000.0,97843000.0,97740000.0,97843000.0,4.72538987,462064609.16911
2024-03-21 21:08:00,97843000.0,97900000.0,97829000.0,97899000.0,5.09944004,499133594.94426
2024-03-21 21:09:00,97891000.0,97912000.0,97780000.0,97820000.0,5.43931943,532362155.75366
2024-03-21 21:10:00,97820000.0,97828000.0,97720000.0,97828000.0,4.19584498,410381553.28702
2024-03-21 21:11:00,97823000.0,97927000.0,97823000.0,97926000.0,3.55446643,347977132.86036
2024-03-21 21:12:00,97926000.0,97989000.0,97926000.0,97978000.0,3.92391337,384391917.00732
2024-03-21 21:13:00,97931000.0,98000000.0,97931000.0,97988000.0,6.57648889,644364798.67295
2024-03-21 21:14:00,97988000.0,97999000.0,97977000.0,97991000.0,2.58147978,252954371.10134
2024-03-21 21:15:00,97995000.0,98127000.0,97995000.0,98093000.0,5.50366973,539593961.33201
2024-03-21 21:16:00,98093000.0,98100000.0,98056000.0,98096000.0,4.50713647,442043263.48748
2024-03-21 21:17:00,98093000.0,98100000.0,98064000.0,98082000.0,2.57438278,252512807.34947
2024-03-21 21:18:00,98082000.0,98110000.0,98000000.0,98039000.0,7.27583735,713536034.93803
2024-03-21 21:19:00,98039000.0,98091000.0,98003000.0,98036000.0,3.05265706,299279166.316
2024-03-21 21:20:00,98036000.0,98115000.0,98036000.0,98115000.0,2.03567656,199672298.24759
2024-03-21 21:21:00,98105000.0,98136000.0,98100000.0,98131000.0,5.71447144,560716061.82308
2024-03-21 21:22:00,98100000.0,98137000.0,98100000.0,98136000.0,5.84694491,573763113.7574
2024-03-21 21:23:00,98102000.0,98134000.0,97977000.0,97977000.0,3.96770612,389035044.04084
2024-03-21 21:24:00,97977000.0,98004000.0,97848000.0,97930000.0,16.22008264,1588484143.30748
2024-03-21 21:25:00,97930000.0,98038000.0,97900000.0,98037000.0,5.52260694,540930089.09799
2024-03-21 21:26:00,98035000.0,98106000.0,97980000.0,98057000.0,3.9113177,383469468.29211
2024-03-21 21:27:00,98110000.0,98134000.0,98058000.0,98105000.0,3.83516915,376247788.56142
2024-03-21 21:28:00,98134000.0,98211000.0,98105000.0,98199000.0,4.10866334,403338652.00749
2024-03-21 21:29:00,98199000.0,98238000.0,98199000.0,98238000.0,2.8356481,278518357.08808
2024-03-21 21:30:00,98238000.0,98338000.0,98238000.0,98336000.0,5.28261373,519165501.39585
2024-03-21 21:31:00,98337000.0,98349000.0,98205000.0,98213000.0,6.20115718,609691405.00179
2024-03-21 21:32:00,98201000.0,98229000.0,98105000.0,98149000.0,4.58804317,450479215.94591
2024-03-21 21:33:00,98105000.0,98154000.0,98035000.0,98135000.0,2.89973479,284422891.2308
2024-03-21 21:34:00,98135000.0,98208000.0,98001000.0,98043000.0,4.65298789,456390320.8138
2024-03-21 21:35:00,98129000.0,98131000.0,98013000.0,98013000.0,1.4140599,138698145.56142
2024-03-21 21:36:00,98014000.0,98080000.0,98000000.0,98068000.0,4.95390502,485676396.8969
2024-03-21 21:37:00,98042000.0,98068000.0,98013000.0,98014000.0,1.22213626,119795960.29803
2024-03-21 21:38:00,98046000.0,98068000.0,98013000.0,98013000.0,2.76229388,270797665.19992
2024-03-21 21:39:00,98013000.0,98013000.0,97969000.0,97983000.0,3.54996686,347904806.29012
2024-03-21 21:40:00,97983000.0,98162000.0,97975000.0,98120000.0,4.51893606,443064417.35697
2024-03-21 21:41:00,98155000.0,98200000.0,98100000.0,98160000.0,1.51070897,148296836.44731
2024-03-21 21:42:00,98148000.0,98148000.0,98016000.0,98016000.0,2.52680523,247795978.36099
2024-03-21 21:43:00,98016000.0,98130000.0,98002000.0,98005000.0,0.90893885,89133693.59766
2024-03-21 21:44:00,98111000.0,98113000.0,97982000.0,97982000.0,3.33159724,326546104.46222
2024-03-21 21:45:00,97980000.0,98007000.0,97820000.0,97820000.0,7.9253307,775506762.35498
2024-03-21 21:46:00,97820000.0,97902000.0,97820000.0,97902000.0,3.32541803,325377529.74016
2024-03-21 21:47:00,97872000.0,98080000.0,97872000.0,98001000.0,3.78063112,370473545.71699
2024-03-21 21:48:00,98001000.0,98024000.0,98000000.0,98001000.0,2.58285311,253127416.67476
2024-03-21 21:49:00,98001000.0,98029000.0,98000000.0,98001000.0,4.47526984,438622501.01854
2024-03-21 21:50:00,98000000.0,98098000.0,98000000.0,98054000.0,4.96662866,486850274.44945
2024-03-21 21:51:00,98054000.0,98132000.0,98002000.0,98053000.0,2.12882821,208767209.96536
2024-03-21 21:52:00,98053000.0,98054000.0,98000000.0,98000000.0,1.5033317,147365280.2881
2024-03-21 21:53:00,98001000.0,98050000.0,98000000.0,98000000.0,2.26357287,221843965.95604
2024-03-21 21:54:00,98000000.0,98001000.0,97995000.0,98000000.0,1.55252829,152147248.24086
2024-03-21 21:55:00,97999000.0,98039000.0,97992000.0,98039000.0,1.87666235,183910385.10608
2024-03-21 21:56:00,98000000.0,98044000.0,98000000.0,98039000.0,0.83003751,81371051.75854
2024-03-21 21:57:00,98040000.0,98040000.0,98039000.0,98040000.0,4.15895031,407740393.88767
