,Upper,SMA,Lower,Signal
2023-11-15 09:00:00,50538868.83815861,47842750.0,45146631.16184139,0
2023-11-16 09:00:00,50570183.408509016,47987150.0,45404116.591490984,0
2023-11-17 09:00:00,50670262.82325748,48140950.0,45611637.17674252,0
2023-11-18 09:00:00,50747123.81981716,48257950.0,45768776.18018284,0
2023-11-19 09:00:00,50882646.21006765,48411350.0,45940053.78993235,0
2023-11-20 09:00:00,51068936.90163562,48568350.0,46067763.09836438,0
2023-11-21 09:00:00,51080137.5198489,48589900.0,46099662.4801511,0
2023-11-22 09:00:00,51233190.39999843,48716200.0,46199209.60000157,0
2023-11-23 09:00:00,51257339.593706146,48878850.0,46500360.406293854,0
2023-11-24 09:00:00,51389790.972721666,49056400.0,46723009.027278334,0
2023-11-25 09:00:00,51451518.47354816,49230250.0,47008981.52645184,0
2023-11-26 09:00:00,51338047.195922755,49401700.0,47465352.804077245,0
2023-11-27 09:00:00,51249769.59209182,49550400.0,47851030.40790818,0
2023-11-28 09:00:00,51150339.81575083,49706300.0,48262260.18424917,0
2023-11-29 09:00:00,51276790.83536066,49772300.0,48267809.16463934,0
2023-11-30 09:00:00,51344654.56362021,49800100.0,48255545.43637979,0
2023-12-01 09:00:00,51665088.70554375,49904100.0,48143111.29445625,0
2023-12-02 09:00:00,52179488.1185646,50063350.0,47947211.8814354,0
2023-12-03 09:00:00,52911846.695364445,50290650.0,47669453.304635555,0
2023-12-04 09:00:00,54499159.98943159,50738200.0,46977240.01056841,0
2023-12-05 09:00:00,56890500.141433775,51226700.0,45562899.858566225,0
2023-12-06 09:00:00,58648333.61337937,51799000.0,44949666.38662063,0
2023-12-07 09:00:00,59799072.482876256,52292000.0,44784927.517123744,0
2023-12-08 09:00:00,60965034.77270505,52840850.0,44716665.22729495,0
2023-12-09 09:00:00,61956208.23047817,53354950.0,44753691.76952183,0
2023-12-10 09:00:00,62765854.67168406,53838200.0,44910545.32831594,0
2023-12-11 09:00:00,62921319.88869314,54260200.0,45599080.11130686,0
2023-12-12 09:00:00,63183656.702635385,54638350.0,46093043.297364615,0
2023-12-13 09:00:00,63555486.50319411,55094700.0,46633913.49680589,0
2023-12-14 09:00:00,63833691.79063062,55501400.0,47169108.20936938,0
2023-12-15 09:00:00,63937345.13863533,55876150.0,47814954.86136467,0
2023-12-16 09:00:00,63910150.88781697,56262400.0,48614649.11218303,0
2023-12-17 09:00:00,63693807.93166332,56584150.0,49474492.06833668,0
2023-12-18 09:00:00,63507849.349542476,56961850.0,50415850.650457524,0
2023-12-19 09:00:00,63172814.55189837,57318100.0,51463385.44810163,0
2023-12-20 09:00:00,62736082.450010166,57756350.0,52776617.549989834,0
2023-12-21 09:00:00,62278605.23299527,58144850.0,54011094.76700473,0
2023-12-22 09:00:00,61735053.84230581,58491300.0,55247546.15769419,0
2023-12-23 09:00:00,61111005.672123246,58768800.0,56426594.327876754,0
2023-12-24 09:00:00,61031473.71455688,58822900.0,56614326.28544312,0
2023-12-25 09:00:00,60844581.92116304,58713650.0,56582718.07883696,0
2023-12-26 09:00:00,60667015.56300836,58549550.0,56432084.43699164,0
2023-12-27 09:00:00,60591411.54644461,58483050.0,56374688.45355539,0
2023-12-28 09:00:00,60389770.1796764,58321300.0,56252829.8203236,0
2023-12-29 09:00:00,60195005.34035828,58139700.0,56084394.65964172,0
2023-12-30 09:00:00,59976353.05479493,57979900.0,55983446.94520507,0
2023-12-31 09:00:00,59971114.34618362,57984750.0,55998385.65381638,0
2024-01-01 09:00:00,60059627.68975476,58046450.0,56033272.31024524,0
2024-01-02 09:00:00,60296259.090290055,58103950.0,55911640.909709945,0
2024-01-03 09:00:00,60280292.97962336,58096250.0,55912207.02037664,0
2024-01-04 09:00:00,60437691.902284265,58168700.0,55899708.097715735,0
2024-01-05 09:00:00,60565440.89620342,58239500.0,55913559.10379658,0
2024-01-06 09:00:00,60627704.36152676,58370450.0,56113195.63847324,0
2024-01-07 09:00:00,60696953.8447641,58419350.0,56141746.1552359,0
2024-01-08 09:00:00,61722901.983124346,58677600.0,55632298.016875654,0
2024-01-09 09:00:00,62194126.50564453,58810750.0,55427373.49435547,0
2024-01-10 09:00:00,63023333.41388994,59017850.0,55012366.58611006,0
2024-01-11 09:00:00,63706800.326906115,59218750.0,54730699.673093885,0
2024-01-12 09:00:00,63717083.97642196,59228000.0,54738916.02357804,0
2024-01-13 09:00:00,63730494.29065991,59276300.0,54822105.70934009,0
2024-01-14 09:00:00,63745187.0044757,59243750.0,54742312.9955243,0
2024-01-15 09:00:00,63712274.56045828,59309850.0,54907425.43954172,0
2024-01-16 09:00:00,63727988.297666624,59373650.0,55019311.702333376,0
2024-01-17 09:00:00,63676348.20890982,59467100.0,55257851.79109018,0
2024-01-18 09:00:00,63607263.51697804,59508800.0,55410336.48302196,0
2024-01-19 09:00:00,63527413.58783676,59563800.0,55600186.41216324,0
2024-01-20 09:00:00,63493237.941135265,59587300.0,55681362.058864735,0
2024-01-21 09:00:00,63531601.665397555,59514700.0,55497798.334602445,0
2024-01-22 09:00:00,63779456.04695939,59238850.0,54698243.95304061,0
2024-01-23 09:00:00,63930953.46102111,59079250.0,54227546.53897889,0
2024-01-24 09:00:00,64011397.213982515,58865400.0,53719402.786017485,0
2024-01-25 09:00:00,64058898.41891053,58652900.0,53246901.58108947,0
2024-01-26 09:00:00,63981181.16074432,58561600.0,53142018.83925568,0
2024-01-27 09:00:00,63927660.89944967,58510500.0,53093339.10055033,0
2024-01-28 09:00:00,63242154.178119026,58252750.0,53263345.821880974,0
2024-01-29 09:00:00,62795169.51178931,58107100.0,53419030.48821069,0
2024-01-30 09:00:00,61811824.260911055,57874300.0,53936775.739088945,0
2024-01-31 09:00:00,60572339.21963175,57633700.0,54695060.78036825,0
2024-02-01 09:00:00,60523875.84053335,57619450.0,54715024.15946665,0
2024-02-02 09:00:00,60576331.094854526,57636000.0,54695668.905145474,0
2024-02-03 09:00:00,60754574.30192633,57729450.0,54704325.69807367,0
2024-02-04 09:00:00,60804073.81378868,57752300.0,54700526.18621132,0
2024-02-05 09:00:00,60760202.20162709,57736600.0,54712997.79837291,0
2024-02-06 09:00:00,60794598.756074496,57749750.0,54704901.243925504,0
2024-02-07 09:00:00,61126875.442135744,57897150.0,54667424.557864256,0
2024-02-08 09:00:00,61825134.60582638,58110750.0,54396365.39417362,0
2024-02-09 09:00:00,62875102.332756735,58419000.0,53962897.667243265,0
2024-02-10 09:00:00,63973600.680873215,58777100.0,53580599.319126785,0
2024-02-11 09:00:00,64879262.26320766,59304150.0,53729037.73679234,0
2024-02-12 09:00:00,66122618.80231594,59884800.0,53646981.19768406,0
2024-02-13 09:00:00,67149858.36133145,60490250.0,53830641.63866855,0
2024-02-14 09:00:00,68707090.66122071,61245150.0,53783209.33877929,0
2024-02-15 09:00:00,70407788.9064847,61932650.0,53457511.09351531,0
2024-02-16 09:00:00,72043284.30891897,62634750.0,53226215.69108103,0
2024-02-17 09:00:00,73238194.8276489,63318500.0,53398805.17235111,0
2024-02-18 09:00:00,74385167.60557272,63961650.0,53538132.39442729,0
2024-02-19 09:00:00,75299666.9119738,64601150.0,53902633.088026196,0
2024-02-20 09:00:00,76110937.79653339,65273800.0,54436662.20346661,0
2024-02-21 09:00:00,76816569.79211426,65936150.0,55055730.20788574,0
2024-02-22 09:00:00,77241073.94370311,66551250.0,55861426.056296885,0
2024-02-23 09:00:00,77399166.52887574,67128500.0,56857833.47112426,0
2024-02-24 09:00:00,77369463.71310914,67743300.0,58117136.286890864,0
2024-02-25 09:00:00,77143679.63792565,68362000.0,59580320.36207435,0
2024-02-26 09:00:00,77196561.51886272,69147150.0,61097738.48113727,0
2024-02-27 09:00:00,78028235.15867251,70066500.0,62104764.84132748,0
2024-02-28 09:00:00,81729799.62580638,71347650.0,60965500.374193616,0
2024-02-29 09:00:00,84072051.28893656,72459050.0,60846048.711063445,0
2024-03-01 09:00:00,86375316.81718414,73601450.0,60827583.182815865,0
2024-03-02 09:00:00,88004549.2444744,74659100.0,61313650.755525604,0
2024-03-03 09:00:00,89796843.45598006,75708100.0,61619356.54401994,0
2024-03-04 09:00:00,93172018.73515151,77117650.0,61063281.26484848,0
2024-03-05 09:00:00,95058885.6343781,78171450.0,61284014.3656219,0
2024-03-06 09:00:00,97116677.89923432,79275050.0,61433422.10076567,0
2024-03-07 09:00:00,99040516.85338652,80371650.0,61702783.14661348,0
2024-03-08 09:00:00,101065533.8550846,81607000.0,62148466.144915394,0
2024-03-09 09:00:00,102713129.80726579,82806100.0,62899070.19273421,0
2024-03-10 09:00:00,104317557.89683998,84093100.0,63868642.10316003,0
2024-03-11 09:00:00,106163770.47051516,85503750.0,64843729.529484846,0
2024-03-12 09:00:00,107771906.6802775,86943900.0,66115893.3197225,0
2024-03-13 09:00:00,109432303.97199059,88569950.0,67707596.02800941,0
2024-03-14 09:00:00,110132629.51008216,90155000.0,70177370.48991784,0
2024-03-15 09:00:00,110036488.15610904,91649650.0,73262811.84389096,0
2024-03-16 09:00:00,108710642.24210863,92925200.0,77139757.75789137,0
2024-03-17 09:00:00,107719578.32341212,94184200.0,80648821.67658788,0
2024-03-18 09:00:00,106728071.25312977,95205250.0,83682428.74687023,0
2024-03-19 09:00:00,106493452.19770533,95452150.0,84410847.80229467,0
2024-03-20 09:00:00,106369265.45469567,96142950.0,85916634.54530433,0
2024-03-21 09:00:00,106057946.1183859,96675050.0,87292153.8816141,0
