,open,high,low,close,volume,value,macd,signal,result
2024-03-23 20:23:00,93637000.0,93676000.0,93571000.0,93600000.0,1.51570551,141884194.07254,0.0,0.0,Hold
2024-03-23 20:24:00,93607000.0,93607000.0,93602000.0,93607000.0,1.41087302,132066523.17786,558.4045584052801,111.68091168105603,Hold
2024-03-23 20:25:00,93607000.0,93700000.0,93602000.0,93685000.0,1.94991647,182548554.58003,7211.759644821286,1531.696658309102,Hold
2024-03-23 20:26:00,93700000.0,93700000.0,93611000.0,93697000.0,0.65547573,61390764.43322,13299.581896051764,3885.273705857635,Hold
2024-03-23 20:27:00,93619000.0,93697000.0,93618000.0,93685000.0,0.31816663,29794657.75125,16960.41605989635,6500.302176665378,Hold
2024-03-23 20:28:00,93685000.0,93697000.0,93670000.0,93685000.0,1.2695409,118938579.52632,19635.309879884124,9127.303717309129,Hold
2024-03-23 20:29:00,93685000.0,93750000.0,93626000.0,93750000.0,3.44053884,322420899.99188,26692.445381224155,12640.332050092135,Hold
2024-03-23 20:30:00,93750000.0,93833000.0,93741000.0,93771000.0,2.44154802,228941156.28451,33592.566410690546,16830.77892221182,Hold
2024-03-23 20:31:00,93771000.0,93825000.0,93645000.0,93696000.0,2.00451123,187878379.9935,32632.916887789965,19991.20651532745,Hold
2024-03-23 20:32:00,93696000.0,93766000.0,93670000.0,93697000.0,1.18436181,110965676.0611,31588.941713005304,22310.75355486302,Hold
2024-03-23 20:33:00,93766000.0,93801000.0,93695000.0,93801000.0,1.46774361,137597842.8096,38707.32080155611,25590.067004201635,Hold
2024-03-23 20:34:00,93788000.0,93855000.0,93750000.0,93855000.0,2.55278948,239516114.98894,48150.9816737622,30102.249938113753,Hold
2024-03-23 20:35:00,93855000.0,93855000.0,93815000.0,93815000.0,1.86164093,174710543.98767,51810.2489477545,34443.84974004191,Hold
2024-03-23 20:36:00,93819000.0,93854000.0,93815000.0,93854000.0,1.63136897,153083790.55633,57197.87716585398,38994.655225204326,Hold
2024-03-23 20:37:00,93854000.0,93878000.0,93843000.0,93858000.0,0.87908992,82507505.3442,61086.21406416595,43412.966992996655,Hold
2024-03-23 20:38:00,93858000.0,93878000.0,93839000.0,93844000.0,1.14303779,107275826.47347,62319.68355357647,47194.310305112616,Hold
2024-03-23 20:39:00,93844000.0,93845000.0,93843000.0,93845000.0,0.82658986,77570712.82308,62655.65328398347,50286.578900886794,Hold
2024-03-23 20:40:00,93845000.0,93863000.0,93844000.0,93860000.0,1.44376107,135492525.76861,63401.43408946693,52909.549938602824,Hold
2024-03-23 20:41:00,93863000.0,93863000.0,93849000.0,93856000.0,1.71713983,161156131.49561,62944.12350586057,54916.464652054376,Hold
2024-03-23 20:42:00,93857000.0,93857000.0,93850000.0,93853000.0,1.01337132,95109254.42811,61629.203549966216,56259.01243163675,Hold
2024-03-23 20:43:00,93853000.0,93853000.0,93844000.0,93850000.0,1.41828301,133105823.7513,59657.35226202011,56938.680397713426,Hold
2024-03-23 20:44:00,93850000.0,93850000.0,93843000.0,93844000.0,0.87919328,82507534.82327,56953.966184437275,56941.7375550582,Hold
2024-03-23 20:45:00,93843000.0,93849000.0,93792000.0,93794000.0,3.40635954,319607735.34741,50198.27662298083,55593.045368642735,Hold
2024-03-23 20:46:00,93794000.0,93820000.0,93777000.0,93777000.0,1.73357042,162586697.5574,42977.1719623059,53069.870687375376,Hold
2024-03-23 20:47:00,93778000.0,93823000.0,93760000.0,93771000.0,3.55543621,333427288.31557,36351.21051064134,49726.138652028574,Hold
2024-03-23 20:48:00,93771000.0,93778000.0,93761000.0,93778000.0,1.63598669,153414536.8212,31304.075920179486,46041.72610565876,Hold
2024-03-23 20:49:00,93778000.0,93778000.0,93775000.0,93777000.0,1.73694,162883552.28937,26913.254506915808,42216.03178591017,Hold
2024-03-23 20:50:00,93778000.0,93778000.0,93705000.0,93729000.0,2.88497533,270464308.47699,19337.388675943017,37640.30316391674,Hold
2024-03-23 20:51:00,93729000.0,93775000.0,93728000.0,93773000.0,2.19074054,205356682.50934,16691.48366676271,33450.53926448594,Hold
2024-03-23 20:52:00,93773000.0,93774000.0,93737000.0,93771000.0,0.44428991,41661977.62748,14268.720669060946,29614.175545400944,Hold
2024-03-23 20:53:00,93771000.0,93771000.0,93737000.0,93770000.0,0.76692366,71891664.97701,12128.165948137641,26116.973625948285,Hold
2024-03-23 20:54:00,93770000.0,93770000.0,93736000.0,93767000.0,0.26282602,24638148.81181,10073.564204409719,22908.291741640573,Hold
2024-03-23 20:55:00,93767000.0,93768000.0,93741000.0,93768000.0,0.91573636,85850689.59713,8428.80712082982,20012.394817478424,Hold
2024-03-23 20:56:00,93750000.0,93770000.0,93741000.0,93741000.0,0.80525931,75498550.95837,4890.278840273619,16987.971622037465,Hold
